WKT,name,description
"LINESTRING (-101.8738812 33.5834599, -101.8738892 33.5834459)", Line 188,
"LINESTRING (-101.8741882 33.5861017, -101.8741909 33.5859168)", Line 189,
"LINESTRING (-101.8751585 33.587139, -101.8750526 33.5871407)", Line 190,
"LINESTRING (-101.8750526 33.5871407, -101.8749555 33.5871396)", Line 191,
"LINESTRING (-101.873175 33.5854577, -101.8731689 33.5854457)", Line 192,
"LINESTRING (-101.8731689 33.5854457, -101.8731595 33.5854239)", Line 193,
"LINESTRING (-101.8731595 33.5854239, -101.8731582 33.5854055)", Line 194,
"LINESTRING (-101.8731582 33.5854055, -101.8731689 33.5853608)", Line 195,
"LINESTRING (-101.8731689 33.5853608, -101.8732004 33.5852541)", Line 196,
"LINESTRING (-101.8732004 33.5852541, -101.8732232 33.5851893)", Line 197,
"LINESTRING (-101.8732232 33.5851893, -101.8732387 33.585122)", Line 198,
"LINESTRING (-101.8732387 33.585122, -101.8732521 33.5850363)", Line 199,
"LINESTRING (-101.8732521 33.5850363, -101.8732621 33.5849592)", Line 200,
"LINESTRING (-101.8732621 33.5849592, -101.8732662 33.5849033)", Line 201,
"LINESTRING (-101.8732662 33.5849033, -101.8732668 33.5848631)", Line 202,
"LINESTRING (-101.8732668 33.5848631, -101.8732655 33.5847982)", Line 203,
"LINESTRING (-101.8732655 33.5847982, -101.8732655 33.5847826)", Line 204,
"LINESTRING (-101.8732655 33.5847826, -101.8732709 33.5847736)", Line 205,
"LINESTRING (-101.8732709 33.5847736, -101.8732709 33.5846996)", Line 206,
"LINESTRING (-101.8749614 33.5858012, -101.8749614 33.5858771)", Line 207,
"LINESTRING (-101.8749614 33.5858771, -101.874948 33.5859084)", Line 208,
"LINESTRING (-101.874948 33.5859084, -101.8749495 33.5860793)", Line 209,
"LINESTRING (-101.8749495 33.5860793, -101.8749483 33.5866866)", Line 210,
"LINESTRING (-101.8730855 33.5851219, -101.873106 33.5850355)", Line 211,
"LINESTRING (-101.873106 33.5850355, -101.8731136 33.5849592)", Line 212,
"LINESTRING (-101.8731136 33.5849592, -101.873122 33.584876)", Line 213,
"LINESTRING (-101.873122 33.584876, -101.8731217 33.5847962)", Line 214,
"LINESTRING (-101.8741909 33.5859168, -101.8741889 33.5857693)", Line 215,
"LINESTRING (-101.8741889 33.5857693, -101.8741949 33.5856498)", Line 216,
"LINESTRING (-101.8724418 33.58483, -101.8725681 33.5849457)", Line 217,
"LINESTRING (-101.8725681 33.5849457, -101.8727062 33.5850722)", Line 218,
"LINESTRING (-101.8750245 33.585364, -101.8750192 33.5853009)", Line 219,
"LINESTRING (-101.8718292 33.5851284, -101.871806 33.5851495)", Line 220,
"LINESTRING (-101.8745351 33.5855753, -101.8746812 33.5854407)", Line 221,
"LINESTRING (-101.8742238 33.5866838, -101.8743475 33.5866833)", Line 222,
"LINESTRING (-101.8743475 33.5866833, -101.8744888 33.5866837)", Line 223,
"LINESTRING (-101.87357 33.5861073, -101.8736898 33.5861053)", Line 224,
"LINESTRING (-101.8736898 33.5861053, -101.8738349 33.5861028)", Line 225,
"LINESTRING (-101.8738349 33.5861028, -101.8740788 33.586102)", Line 226,
"LINESTRING (-101.8740788 33.586102, -101.8741882 33.5861017)", Line 227,
"LINESTRING (-101.87357 33.5861073, -101.8737872 33.5859785)", Line 228,
"LINESTRING (-101.8737872 33.5859785, -101.8737996 33.5859715)", Line 229,
"LINESTRING (-101.8737996 33.5859715, -101.8738375 33.5859185)", Line 230,
"LINESTRING (-101.8738375 33.5859185, -101.8741909 33.5859168)", Line 231,
"LINESTRING (-101.8741909 33.5859168, -101.8743483 33.5859156)", Line 232,
"LINESTRING (-101.8743483 33.5859156, -101.8744355 33.5859156)", Line 233,
"LINESTRING (-101.8742801 33.5851398, -101.8743267 33.5850757)", Line 234,
"LINESTRING (-101.8743267 33.5850757, -101.8743544 33.585033)", Line 235,
"LINESTRING (-101.8741879 33.586267, -101.8743508 33.5862682)", Line 236,
"LINESTRING (-101.875191 33.5853646, -101.8750245 33.585364)", Line 237,
"LINESTRING (-101.8749483 33.5866866, -101.8750285 33.5866844)", Line 238,
"LINESTRING (-101.8748304 33.5855749, -101.8748287 33.5853295)", Line 239,
"LINESTRING (-101.8748287 33.5853295, -101.8748223 33.5852998)", Line 240,
"LINESTRING (-101.8751559 33.5864245, -101.8751429 33.5861639)", Line 241,
"LINESTRING (-101.8755166 33.5860805, -101.8755166 33.586105)", Line 242,
"LINESTRING (-101.8755166 33.586105, -101.8756748 33.5862212)", Line 243,
"LINESTRING (-101.8741949 33.5856498, -101.8741954 33.5855984)", Line 244,
