WKT,name,description
"POINT (-101.8788140 33.5816772)", Start or End node Name 274 ,
"POINT (-101.8788659 33.5806257)", Start or End node Name 275 ,
"POINT (-101.8770484 33.5811344)", Start or End node Name 276 ,
"POINT (-101.8792416 33.5798438)", Start or End node Name 277 ,
"POINT (-101.8792423 33.5800802)", Start or End node Name 278 ,
"POINT (-101.8792443 33.5809060)", Start or End node Name 279 ,
"POINT (-101.8792446 33.5818696)", Start or End node Name 280 ,
"POINT (-101.8795374 33.5811019)", Start or End node Name 281 ,
"POINT (-101.8795382 33.5806247)", Start or End node Name 282 ,
"POINT (-101.8803463 33.5811503)", Start or End node Name 283 ,
"POINT (-101.8797479 33.5811512)", Start or End node Name 284 ,
"POINT (-101.8792935 33.5808629)", Start or End node Name 285 ,
"POINT (-101.8798529 33.5808625)", Start or End node Name 286 ,
"POINT (-101.8788096 33.5808613)", Start or End node Name 287 ,
"POINT (-101.8791958 33.5808628)", Start or End node Name 288 ,
"POINT (-101.8803954 33.5815246)", Start or End node Name 289 ,
"POINT (-101.8804585 33.5811195)", Start or End node Name 290 ,
"POINT (-101.8811958 33.5811183)", Start or End node Name 291 ,
"POINT (-101.8807242 33.5818552)", Start or End node Name 292 ,
"POINT (-101.8789483 33.5811429)", Start or End node Name 293 ,
"POINT (-101.8789460 33.5805759)", Start or End node Name 294 ,
"POINT (-101.8811514 33.5811184)", Start or End node Name 295 ,
"POINT (-101.8803954 33.5815246)", Start or End node Name 296 ,
"POINT (-101.8814084 33.5811224)", Start or End node Name 297 ,
"POINT (-101.8803781 33.5811196)", Start or End node Name 298 ,
"POINT (-101.8787917 33.5811011)", Start or End node Name 299 ,
"POINT (-101.8799046 33.5811027)", Start or End node Name 300 ,
"POINT (-101.8797455 33.5806243)", Start or End node Name 301 ,
"POINT (-101.8787359 33.5806259)", Start or End node Name 302 ,
"POINT (-101.8797549 33.5818691)", Start or End node Name 303 ,
"POINT (-101.8797351 33.5798952)", Start or End node Name 304 ,
"POINT (-101.8792935 33.5808629)", Start or End node Name 305 ,
"POINT (-101.8792935 33.5808629)", Start or End node Name 306 ,
"POINT (-101.8803781 33.5811196)", Start or End node Name 307 ,
"POINT (-101.8791695 33.5840449)", Start or End node Name 308 ,
"POINT (-101.8817105 33.5815469)", Start or End node Name 309 ,
"POINT (-101.8817450 33.5808175)", Start or End node Name 310 ,
"POINT (-101.8814134 33.5805701)", Start or End node Name 311 ,
"POINT (-101.8816747 33.5794701)", Start or End node Name 312 ,
"POINT (-101.8814847 33.5809873)", Start or End node Name 313 ,
"POINT (-101.8815625 33.5815348)", Start or End node Name 314 ,
"POINT (-101.8814054 33.5810504)", Start or End node Name 315 ,
"POINT (-101.8815701 33.5798393)", Start or End node Name 316 ,
"POINT (-101.8856067 33.5835336)", Start or End node Name 317 ,
"POINT (-101.8814897 33.5817868)", Start or End node Name 318 ,
"POINT (-101.8881439 33.5805615)", Start or End node Name 319 ,
"POINT (-101.8814594 33.5803825)", Start or End node Name 320 ,
"POINT (-101.8823298 33.5805666)", Start or End node Name 321 ,
"POINT (-101.8811992 33.5805293)", Start or End node Name 322 ,
"POINT (-101.8812135 33.5815494)", Start or End node Name 323 ,
"POINT (-101.8809060 33.5816882)", Start or End node Name 324 ,
