WKT,name,description
"POINT (-101.8717949 33.5803323)", Name 426 ,
"POINT (-101.8750398 33.5874731)", Name 427 ,
"POINT (-101.8818156 33.5833499)", Name 428 ,
"POINT (-101.8790374 33.5825096)", Name 429 ,
"POINT (-101.8709547 33.5868938)", Name 430 ,
"POINT (-101.8803463 33.5811503)", Name 431 ,
"POINT (-101.8785811 33.5831410)", Name 432 ,
"POINT (-101.8812591 33.5831318)", Name 433 ,
"POINT (-101.8740978 33.5798355)", Name 434 ,
"POINT (-101.8758165 33.5882194)", Name 435 ,
"POINT (-101.8792443 33.5809060)", Name 436 ,
"POINT (-101.8738187 33.5847412)", Name 437 ,
"POINT (-101.8740630 33.5848208)", Name 438 ,
"POINT (-101.8801105 33.5921186)", Name 439 ,
"POINT (-101.8783483 33.5844473)", Name 440 ,
"POINT (-101.8733094 33.5803667)", Name 441 ,
"POINT (-101.8794121 33.5882759)", Name 442 ,
"POINT (-101.8816604 33.5795924)", Name 443 ,
"POINT (-101.8745094 33.5845215)", Name 444 ,
"POINT (-101.8815524 33.5856761)", Name 445 ,
"POINT (-101.8785831 33.5868149)", Name 446 ,
"POINT (-101.8714356 33.5847422)", Name 447 ,
"POINT (-101.8803387 33.5877217)", Name 448 ,
"POINT (-101.8750217 33.5888152)", Name 449 ,
"POINT (-101.8789436 33.5818699)", Name 450 ,
"POINT (-101.8776212 33.5851697)", Name 451 ,
"POINT (-101.8767410 33.5842031)", Name 452 ,
"POINT (-101.8791957 33.5808667)", Name 453 ,
"POINT (-101.8711250 33.5837008)", Name 454 ,
"POINT (-101.8744257 33.5870109)", Name 455 ,
"POINT (-101.8756846 33.5830778)", Name 456 ,
"POINT (-101.8745312 33.5791541)", Name 457 ,
"POINT (-101.8726956 33.5792231)", Name 458 ,
"POINT (-101.8800945 33.5885279)", Name 459 ,
"POINT (-101.8716674 33.5846987)", Name 460 ,
"POINT (-101.8815625 33.5815348)", Name 461 ,
"POINT (-101.8812090 33.5853220)", Name 462 ,
"POINT (-101.8826795 33.5877276)", Name 463 ,
"POINT (-101.8754185 33.5832409)", Name 464 ,
"POINT (-101.8796101 33.5855422)", Name 465 ,
"POINT (-101.8712851 33.5851316)", Name 466 ,
"POINT (-101.8751572 33.5837274)", Name 467 ,
"POINT (-101.8840918 33.5846438)", Name 468 ,
"POINT (-101.8817148 33.5809820)", Name 469 ,
"POINT (-101.8710962 33.5828959)", Name 470 ,
"POINT (-101.8793767 33.5838682)", Name 471 ,
"POINT (-101.8805920 33.5884178)", Name 472 ,
"POINT (-101.8816598 33.5855658)", Name 473 ,
"POINT (-101.8813572 33.5824947)", Name 474 ,
"POINT (-101.8738346 33.5862238)", Name 475 ,
"POINT (-101.8809322 33.5879007)", Name 476 ,
"POINT (-101.8712585 33.5843389)", Name 477 ,
"POINT (-101.8798305 33.5860320)", Name 478 ,
"POINT (-101.8749339 33.5874747)", Name 479 ,
"POINT (-101.8826901 33.5816055)", Name 480 ,
"POINT (-101.8753186 33.5862713)", Name 481 ,
"POINT (-101.8785785 33.5870896)", Name 482 ,
"POINT (-101.8800731 33.5825790)", Name 483 ,
"POINT (-101.8773004 33.5848712)", Name 484 ,
"POINT (-101.8757784 33.5842444)", Name 485 ,
"POINT (-101.8812059 33.5799530)", Name 486 ,
"POINT (-101.8742218 33.5899865)", Name 487 ,
"POINT (-101.8757490 33.5822630)", Name 488 ,
"POINT (-101.8757765 33.5849502)", Name 489 ,
"POINT (-101.8854813 33.5836148)", Name 490 ,
"POINT (-101.8805706 33.5795745)", Name 491 ,
"POINT (-101.8792578 33.5808260)", Name 492 ,
"POINT (-101.8781790 33.5808633)", Name 493 ,
"POINT (-101.8767833 33.5839980)", Name 494 ,
"POINT (-101.8748722 33.5844806)", Name 495 ,
"POINT (-101.8815077 33.5815339)", Name 496 ,
"POINT (-101.8787009 33.5869378)", Name 497 ,
"POINT (-101.8767730 33.5805687)", Name 498 ,
"POINT (-101.8792817 33.5808918)", Name 499 ,
"POINT (-101.8818047 33.5856877)", Name 500 ,
"POINT (-101.8779658 33.5848661)", Name 501 ,
"POINT (-101.8741075 33.5848700)", Name 502 ,
"POINT (-101.8755853 33.5825059)", Name 503 ,
"POINT (-101.8786972 33.5839910)", Name 504 ,
"POINT (-101.8710710 33.5831753)", Name 505 ,
"POINT (-101.8786966 33.5873725)", Name 506 ,
"POINT (-101.8753129 33.5786540)", Name 507 ,
"POINT (-101.8808665 33.5815251)", Name 508 ,
"POINT (-101.8745924 33.5843358)", Name 509 ,
"POINT (-101.8784238 33.5882807)", Name 510 ,
"POINT (-101.8723078 33.5849466)", Name 511 ,
"POINT (-101.8794137 33.5839317)", Name 512 ,
"POINT (-101.8737319 33.5846985)", Name 513 ,
"POINT (-101.8808429 33.5815251)", Name 514 ,
"POINT (-101.8750240 33.5854805)", Name 515 ,
"POINT (-101.8792261 33.5809030)", Name 516 ,
"POINT (-101.8767419 33.5848318)", Name 517 ,
